subject_group	total
Economics, Philosophy, Politics, Religion & Sociology/Christians	7
Music & Performing Arts/Johnson, Blind Willie	1
Music & Performing Arts/Amateur theater - Great Britain	4
Agriculture, Business, Commerce & Industry/Petroleum refineries - Australia	2
People/Blakemore, Michael	1
History/Newfoundland - History	10
Hobbies, Recreation & Sport/Hunting	34
Anthropology, Ethnology, Exploration & Travel/New Norfolk (Tas.) - Description and travel	1
Agriculture, Business, Commerce & Industry/Animal products	3
Agriculture, Business, Commerce & Industry/Metal-work	35
Hobbies, Recreation & Sport/Magic	79
Economics, Philosophy, Politics, Religion & Sociology/Politicians	7
Literature/Creative writing, Fiction	11
History/Radiocarbon dating	5
Literature/Danish literature - Film and video adaptations	4
Advertising, Film, Journalism, Mass Media & TV/Exoticism in motion pictures	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Materials handling	21
Food, Health, Lifestyle, Medicine, Psychology & Safety/Incontinence	2
Agriculture, Business, Commerce & Industry/Cheese	3
Education, Instruction, Teaching & Schools/Hearing impaired children - Education	4
People/Bin Laden, Osama, 1957-	2
Mathematics, Science & Technology/Ellehammer, Jacob Christian Hansen, 1871-1946	1
Communications, Infrastructure, & Transport/Sailing	61
Economics, Philosophy, Politics, Religion & Sociology/Unemployed - Australia	15
People/Schoffer, Nicolas, 1912-	1
Crime, Espionage, Justice, Police & Prisons/Evidence	6
Anthropology, Ethnology, Exploration & Travel/Rum Jungle (N.T.)	3
Agriculture, Business, Commerce & Industry/Plastics	12
Aboriginal Australia/Aboriginal Australians - Alcohol use	12
Music & Performing Arts/Melody	7
Places/Rome (Italy)	45
Food, Health, Lifestyle, Medicine, Psychology & Safety/Food additives	8
Education, Instruction, Teaching & Schools/Knowledge, Theory of	9
People/Vance, Cyrus R., (Cyrus Roberts), 1917-	1
Mathematics, Science & Technology/Crystals	13
Food, Health, Lifestyle, Medicine, Psychology & Safety/Interior lighting	4
Advertising, Film, Journalism, Mass Media & TV/Publicity	14
People/Rousseau, Henri, 1844-1910	1
History/Buildings - Conservation and restoration	15
People/Bonnard, Pierre, 1867-1947	3
History/Dunlop, Edward, Sir	2
Mathematics, Science & Technology/Calculators	8
People/Arenas, Reinaldo, 1943-1990	1
Mathematics, Science & Technology/Geography	114
Agriculture, Business, Commerce & Industry/Interviewing	13
Music & Performing Arts/African American musicians	41
Economics, Philosophy, Politics, Religion & Sociology/Australia - Social conditions - 20th Century	43
Hobbies, Recreation & Sport/Rosewall, Ken	3
Literature/English poetry	24
History/Humanism	19
Places/Cooktown (Qld.)	1
Places/Arabian Peninsula	5
Climate, Environment, Natural Resources & Disasters/Forests and forestry - Papua New Guinea	3
Advertising, Film, Journalism, Mass Media & TV/Editors	7
Aboriginal Australia/Racism - Australia	52
Armed Forces, Military, War & Weapons/Munich Four-Power Agreement (1938)	3
