subject_group	total
Family, Gender Identity, Relationships & Sexuality/Children - Great Britain	13
Climate, Environment, Natural Resources & Disasters/Deforestation - Himalaya Mountains Region	3
People/Bacon, Francis, 1909-	6
Education, Instruction, Teaching & Schools/Victorian Certificate of Education Examination	6
Crafts & Visual Arts/Art and science	13
Anthropology, Ethnology, Exploration & Travel/Wilpena Pound Region (S.Aust.)	2
Advertising, Film, Journalism, Mass Media & TV/Motion pictures - Editing	34
Economics, Philosophy, Politics, Religion & Sociology/Malaysia - Economic conditions	5
Anthropology, Ethnology, Exploration & Travel/Tokyo (Japan) - Social life and customs	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Anatomy, Comparative	5
People/Paterson, A. B. (Andrew Barton), 1864-1941	5
Anthropology, Ethnology, Exploration & Travel/New York (N.Y.)	104
Family, Gender Identity, Relationships & Sexuality/Youth - Suicidal behavior	7
Aboriginal Australia/Aboriginal Australians - Attitudes	57
Food, Health, Lifestyle, Medicine, Psychology & Safety/Psychology, Pathological	7
Music & Performing Arts/Aboriginal Australians - Music	33
Climate, Environment, Natural Resources & Disasters/Biology - Antarctica	8
Anthropology, Ethnology, Exploration & Travel/Romania	8
Advertising, Film, Journalism, Mass Media & TV/Film festivals - Canada - Montreal - Awards	26
Economics, Philosophy, Politics, Religion & Sociology/Leisure	68
Anthropology, Ethnology, Exploration & Travel/National characteristics, Japanese	11
Anthropology, Ethnology, Exploration & Travel/Bougainville (Papua New Guinea)	6
Aboriginal Australia/Sacred sites (Australian Aboriginal)	29
People/Dobell, William, Sir, 1899-1970	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Anorexia Nervosa	10
History/Afghanistan - History - 2001-	4
Places/Glasgow (Scotland)	15
Agriculture, Business, Commerce & Industry/Ford Motor Company - History	6
People/Forrest, John Sir, 1847-1918	1
Economics, Philosophy, Politics, Religion & Sociology/Women's rights - United States	12
Economics, Philosophy, Politics, Religion & Sociology/United States - Foreign relations - Japan	8
History/Confucius	3
Armed Forces, Military, War & Weapons/Firearms - Law and legislation - Australia	5
People/Cerovsek, Corey	1
Music & Performing Arts/Magicians	38
Animals & Wildlife/Horses - Australia	11
Food, Health, Lifestyle, Medicine, Psychology & Safety/Human engineering	9
Agriculture, Business, Commerce & Industry/Conflict management	65
People/Portraits	46
Crafts & Visual Arts/Great Britain - Churches	6
Communications, Infrastructure, & Transport/Sewage disposal plants	8
Economics, Philosophy, Politics, Religion & Sociology/Australia - Population	5
Advertising, Film, Journalism, Mass Media & TV/Motion pictures - Aesthetics	25
Crafts & Visual Arts/Sandpaintings	4
Anthropology, Ethnology, Exploration & Travel/Sidney Myer Music Bowl (Melbourne, Vic.)	4
People/Toulouse-Lautrec, Henri de, 1864-1901	11
Hobbies, Recreation & Sport/Cricket players	9
Advertising, Film, Journalism, Mass Media & TV/Film festivals - United States - Los Angeles - Awards	12
People/Taylor, Koko	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Pregnancy - Nutritional aspects	8
Economics, Philosophy, Politics, Religion & Sociology/Anti-apartheid movements - South Africa	13
Crafts & Visual Arts/Portrait photography	13
People/Gordy, Berry	1
Places/Fremantle (W.A.)	5
Crafts & Visual Arts/Vassilieff, Danila, 1897-1958	2
Animals & Wildlife/Birds of prey	18
People/Brisley, Stuart G	1
People/Lugosi, Bela 1882-1956	2
Communications, Infrastructure, & Transport/Boatbuilding	27
Music & Performing Arts/Liberace, 1919-	1
Crafts & Visual Arts/Neoclassicism (Art)	3
Climate, Environment, Natural Resources & Disasters/Natural areas - Australia	9
People/Ronning, Chester, 1894	1
People/Strand, Paul, 1890-1976	1
Crime, Espionage, Justice, Police & Prisons/Probation	4
Crafts & Visual Arts/Painters - Netherlands	14
Crafts & Visual Arts/Church architecture	34
Family, Gender Identity, Relationships & Sexuality/Kinship	4
Anthropology, Ethnology, Exploration & Travel/Afghanistan	19
Education, Instruction, Teaching & Schools/Armed forces - training	91
Places/Jabiluka (N.T.)	2
People/Adams, Maude, 1872-1953	1
Economics, Philosophy, Politics, Religion & Sociology/Feminist theory	6
Crafts & Visual Arts/Flower arrangement, Japanese	5
Mathematics, Science & Technology/Adaptation - Biology - Juvenile films	18
People/Drake, Francis, Sir, 1540?-1596	4
Economics, Philosophy, Politics, Religion & Sociology/Keynesian economics	3
History/Fenton, Clyde	1
Hobbies, Recreation & Sport/Gambling	57
Places/Spain	11
Music & Performing Arts/Children's songs	54
People/Cook, Patrick, 1949-	1
Anthropology, Ethnology, Exploration & Travel/Groote Eylandt (N.T.)	3
Places/Otway Ranges (Vic)	2
People/Zhukov, Georgii Kostantinovich, 1896-1974	1
Anthropology, Ethnology, Exploration & Travel/Paddle steamers - Murray River (N.S.W.-S. Aust.)	9
Places/Maatsuyker Island (Tas.)	1
Literature/Children's literature, Australian	82
Climate, Environment, Natural Resources & Disasters/National parks and reserves - Great Britain	8
People/Cowart, Dax	1
People/Fletcher Jones, David Sir, 1895-1977	1
Economics, Philosophy, Politics, Religion & Sociology/Russell, Bertrand	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Alcoholism - Treatment	13
Advertising, Film, Journalism, Mass Media & TV/Howard, Ron, 1954-	2
Climate, Environment, Natural Resources & Disasters/Acid rain - Environmental aspects	9
People/Brack, John, 1920-	5
People/Manser, Bruno	1
Hobbies, Recreation & Sport/Physically handicapped - Recreation	20
Literature/Literature - Television adaptations	5
Anthropology, Ethnology, Exploration & Travel/Scotland	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/Handicapped children - Education	66
Places/Hahndorf (S. Aust.)	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Drug abuse counseling	15
History/William I, King of England, 1027 or 8-1087	1
Crafts & Visual Arts/Watercolor painting	12
History/Bruce, Stanley Melbourne, Viscount, 1883-1967	1
Climate, Environment, Natural Resources & Disasters/War - Environmental aspects	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cancer - Prevention	37
Mathematics, Science & Technology/Clouds	22
Food, Health, Lifestyle, Medicine, Psychology & Safety/Hospitals - Safety measures	18
Mathematics, Science & Technology/Metallurgy	19
People/Astaire, Fred, 1899-1987	5
Advertising, Film, Journalism, Mass Media & TV/Parer, Damien, 1912-1944	1
Family, Gender Identity, Relationships & Sexuality/Self-respect	74
Anthropology, Ethnology, Exploration & Travel/Tennant Creek (N.T.)	4
Crafts & Visual Arts/Sculpture, French	14
People/Maymuru, Banapana	1
Music & Performing Arts/Theater of the absurd	7
Crime, Espionage, Justice, Police & Prisons/Survival (after airplane accidents, shipwrecks, etc.)	22
Crime, Espionage, Justice, Police & Prisons/United States. Central Intelligence Agency	21
Crafts & Visual Arts/Amaral, Olga de	1
Economics, Philosophy, Politics, Religion & Sociology/Socialism	17
Economics, Philosophy, Politics, Religion & Sociology/New Year	18
Anthropology, Ethnology, Exploration & Travel/Ethnology - Papua New Guinea	20
Places/Mississippi	6
Armed Forces, Military, War & Weapons/Indonesia - Armed forces	10
Music & Performing Arts/Violoncello	12
Family, Gender Identity, Relationships & Sexuality/African American women	15
Music & Performing Arts/Ashton, Queenie	1
Agriculture, Business, Commerce & Industry/Work ethic	19
Family, Gender Identity, Relationships & Sexuality/Social role	27
People/Supremes (Musical group)	2
People/Fulton, Margaret	1
Music & Performing Arts/Critics	7
Anthropology, Ethnology, Exploration & Travel/Borroloola (N.T.)	2
Family, Gender Identity, Relationships & Sexuality/Education of children	429
Armed Forces, Military, War & Weapons/Korean War, 1950-1953	26
People/Jain, Devaki, 1933-	1
Education, Instruction, Teaching & Schools/Operations research	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Self-defense	9
Crafts & Visual Arts/Photography	121
History/Blacklisting of entertainers - United States	7
History/Pankhurst, Emmeline, 1858-1928	1
Literature/Books	24
Education, Instruction, Teaching & Schools/Movement education	33
Economics, Philosophy, Politics, Religion & Sociology/Anti-semitism	37
Animals & Wildlife/Sheep-shearing	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/World Health Organisation	31
Advertising, Film, Journalism, Mass Media & TV/Cinematography - Special effects	101
Hobbies, Recreation & Sport/Swimming - Technique	40
Armed Forces, Military, War & Weapons/Nazis	18
Places/Sumatra (Indonesia)	5
Agriculture, Business, Commerce & Industry/Corporations - Growth	7
People/Jakamarra, Michael Nelson	1
Anthropology, Ethnology, Exploration & Travel/Monte Bello Islands (W.A.)	1
Armed Forces, Military, War & Weapons/Tiger Moth (Training planes)	3
Armed Forces, Military, War & Weapons/Knights and knighthood	13
Economics, Philosophy, Politics, Religion & Sociology/Nuclear energy - Economic aspects	7
Economics, Philosophy, Politics, Religion & Sociology/Children - Iran - Social conditions	8
Music & Performing Arts/Carnival	12
Animals & Wildlife/Alligators	4
Agriculture, Business, Commerce & Industry/Furnaces	8
Climate, Environment, Natural Resources & Disasters/Wilderness areas - United States	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cervix uteri - Cancer - Diagnosis	5
Economics, Philosophy, Politics, Religion & Sociology/Burma - Social conditions	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Dwellings	13
Places/Rhine River	11
Anthropology, Ethnology, Exploration & Travel/Thomson River (Vic.)	2
People/Atwood, Margaret, 1939-	2
Places/Amsterdam (Netherlands)	8
Communications, Infrastructure, & Transport/Fishing boats	19
Food, Health, Lifestyle, Medicine, Psychology & Safety/Eating disorders	17
Agriculture, Business, Commerce & Industry/Tools	35
Advertising, Film, Journalism, Mass Media & TV/Journalistic ethics	19
Crafts & Visual Arts/Dali, Salvador, 1904-1989	7
Animals & Wildlife/Whaling	23
Food, Health, Lifestyle, Medicine, Psychology & Safety/Artificial organs	3
Family, Gender Identity, Relationships & Sexuality/Birth control - Developing countries	9
Anthropology, Ethnology, Exploration & Travel/Strzelecki Ranges (Vic.)	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Masochism	58
Anthropology, Ethnology, Exploration & Travel/Great Britain	24
Economics, Philosophy, Politics, Religion & Sociology/United States - Constitution - Amendments - 1st-10th	7
Hobbies, Recreation & Sport/Cheerleading	9
Climate, Environment, Natural Resources & Disasters/Landscape gardening	17
Music & Performing Arts/Composers - Biography	41
Armed Forces, Military, War & Weapons/Kosovo (Serbia)	1
Economics, Philosophy, Politics, Religion & Sociology/Agriculture - Economic aspects	43
Anthropology, Ethnology, Exploration & Travel/Dauphine (France)	4
Hobbies, Recreation & Sport/Track-athletics - Training	19
Mathematics, Science & Technology/Maps	28
Places/Broken Hill (N.S.W.)	11
Agriculture, Business, Commerce & Industry/Oxyacetylene welding and cutting	9
Hobbies, Recreation & Sport/Skating	31
History/Nevsky, Alexander	2
Mathematics, Science & Technology/Kepler, Johannes, 1571-1630	8
Advertising, Film, Journalism, Mass Media & TV/Newspaper publishing - United States	3
Economics, Philosophy, Politics, Religion & Sociology/Civil law	13
History/Mary, Queen of Scots, 1542-1587	6
Music & Performing Arts/Amateur theater	5
People/Hepworth, Barbara	2
People/Sutherland, Jane, 1855-1928	3
Animals & Wildlife/Reptiles	18
Food, Health, Lifestyle, Medicine, Psychology & Safety/Communicable diseases	62
Crafts & Visual Arts/Plaster sculpture	4
People/Kafka, Franz	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Adjustment disorders in children	8
Economics, Philosophy, Politics, Religion & Sociology/Minorities - Legal status, laws, etc	3
Economics, Philosophy, Politics, Religion & Sociology/Social action	23
Economics, Philosophy, Politics, Religion & Sociology/Ethnicity	122
Mathematics, Science & Technology/Guided missiles	8
People/Walwicz, Ania	1
Anthropology, Ethnology, Exploration & Travel/Tamworth (N.S.W.)	3
Crafts & Visual Arts/Photojournalism	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Blind-deaf children - Education - United States	3
Animals & Wildlife/Biology - Study and teaching (Primary)	19
Economics, Philosophy, Politics, Religion & Sociology/Leadership	51
Economics, Philosophy, Politics, Religion & Sociology/Counseling	30
People/Stott Despoja, Natasha, 1969-	1
People/Andrew, Prince, Duke of York, 1960-	2
Advertising, Film, Journalism, Mass Media & TV/Newspaper publishing - Australia	7
Places/Geraldton Region (W.A.)	1
Climate, Environment, Natural Resources & Disasters/Water table	7
Hobbies, Recreation & Sport/Commonwealth Games	14
Advertising, Film, Journalism, Mass Media & TV/Eisenstein, Sergei, 1898-1948	5
Crime, Espionage, Justice, Police & Prisons/Trials - United States	5
Music & Performing Arts/Disco dancing	11
Mathematics, Science & Technology/Space ships	47
History/Australians - Relations with Japanese	7
Economics, Philosophy, Politics, Religion & Sociology/Forums (Discussion and debate)	37
Places/Morocco	9
Advertising, Film, Journalism, Mass Media & TV/Muybridge, Eadweard	5
Economics, Philosophy, Politics, Religion & Sociology/Shinto	8
Crafts & Visual Arts/Blackwood, David	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Motor ability in children	18
People/Gibson, William, 1948-	2
Mathematics, Science & Technology/Unicellular organisms	15
Literature/Fairy tales - Film and video adaptations	137
Crafts & Visual Arts/Butler, Reg	2
Family, Gender Identity, Relationships & Sexuality/Achievement behavior in children	16
Economics, Philosophy, Politics, Religion & Sociology/Children - Australia - History	7
Economics, Philosophy, Politics, Religion & Sociology/Indians of North America - Social conditions	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/Personality	19
Mathematics, Science & Technology/Geology, Structural	19
Food, Health, Lifestyle, Medicine, Psychology & Safety/Performance - Evaluation	15
Anthropology, Ethnology, Exploration & Travel/Women - Greece	3
Hobbies, Recreation & Sport/Tennis	39
Hobbies, Recreation & Sport/Bannister, Roger	1
Economics, Philosophy, Politics, Religion & Sociology/Indonesia - Social conditions	29
Magic, Occult & Supernatural/Ghosts	100
Anthropology, Ethnology, Exploration & Travel/Japan - Description and travel	54
Economics, Philosophy, Politics, Religion & Sociology/Spiritualism	12
Economics, Philosophy, Politics, Religion & Sociology/White supremacy movements	7
Mathematics, Science & Technology/Civil engineering	21
Mathematics, Science & Technology/Chemicals - Safety measures	20
History/Lincoln, Abraham, 1809-1865	13
Economics, Philosophy, Politics, Religion & Sociology/Feminist motion pictures	22
Economics, Philosophy, Politics, Religion & Sociology/Aboriginal Australians - Social conditions	116
Animals & Wildlife/Parasites	12
Animals & Wildlife/Aquatic mammals	28
Food, Health, Lifestyle, Medicine, Psychology & Safety/Organizational behavior	20
People/Niemeyer, Oscar, 1907-	1
People/World War, 1939-1945 - Biography	22
Anthropology, Ethnology, Exploration & Travel/Festivals - Australia	31
People/Sages, Jenny	1
History/Aztecs	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Individuality	42
Music & Performing Arts/Music and dance - Cross-cultural studies	10
People/Erte, 1892-	3
Family, Gender Identity, Relationships & Sexuality/Interpersonal conflict	167
People/Lauda, Niki	2
Mathematics, Science & Technology/Sound	37
Anthropology, Ethnology, Exploration & Travel/Oceania	11
Anthropology, Ethnology, Exploration & Travel/Ravenswood (Qld.)	1
Economics, Philosophy, Politics, Religion & Sociology/Paganism	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Shopping	42
Crafts & Visual Arts/Wright, Frank Lloyd, 1867-1959	8
People/Ellington, Duke, 1899-1974	11
Mathematics, Science & Technology/Orbits	11
Agriculture, Business, Commerce & Industry/Tea	9
People/Wakelin, Roland, 1887-1971	4
Crafts & Visual Arts/Kertesz, Andre	1
Crime, Espionage, Justice, Police & Prisons/Murder	193
Climate, Environment, Natural Resources & Disasters/Cyclone Tracy, 1974	6
Anthropology, Ethnology, Exploration & Travel/Pygmies	4
Climate, Environment, Natural Resources & Disasters/Fires	25
Food, Health, Lifestyle, Medicine, Psychology & Safety/Industrial accidents	59
Education, Instruction, Teaching & Schools/Rape - Investigation - Study and teaching	6
Hobbies, Recreation & Sport/Professional sports	39
Agriculture, Business, Commerce & Industry/Soil degradation	16
Crafts & Visual Arts/Collage	13
Agriculture, Business, Commerce & Industry/Agriculture - Economic aspects	37
Education, Instruction, Teaching & Schools/Firearms - Safety measures	7
Crafts & Visual Arts/Painting, Modern	20
Places/Mallee (Vic.)	7
Crafts & Visual Arts/Tucker, Albert, 1914-	9
Communications, Infrastructure, & Transport/Diesel locomotives - Great Britain	13
Animals & Wildlife/Primates	16
Anthropology, Ethnology, Exploration & Travel/Arabian Peninsula	5
Communications, Infrastructure, & Transport/State Electricity Commission of Victoria	15
Advertising, Film, Journalism, Mass Media & TV/Motion picture producers and directors - Japan	3
Literature/Playwrights	18
Aboriginal Australia/Aboriginal Australians - Biography	18
Education, Instruction, Teaching & Schools/Plumbing	14
People/Stephanopoulos, George	1
Mathematics, Science & Technology/SPSS (Computer system)	7
Mathematics, Science & Technology/Aeronautical instruments	7
Family, Gender Identity, Relationships & Sexuality/Abortion	26
Crafts & Visual Arts/Photographers - Australia	21
History/Bushrangers	19
Economics, Philosophy, Politics, Religion & Sociology/Temples	29
People/Hudson, Peter	2
Education, Instruction, Teaching & Schools/Sign language - Study and teaching	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Rave Culture	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Consumer complaints	4
Hobbies, Recreation & Sport/Golf - Equipment and supplies	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Fire extinction - Equipment and supplies	20
Agriculture, Business, Commerce & Industry/Industrial sociology	40
People/Green, Dorothy, 1915-	1
Economics, Philosophy, Politics, Religion & Sociology/Goths	4
Mathematics, Science & Technology/Genetic engineering - experiments	10
Climate, Environment, Natural Resources & Disasters/Caves	9
Crafts & Visual Arts/Painting, British	7
Animals & Wildlife/Wildlife conservation - United States	13
Economics, Philosophy, Politics, Religion & Sociology/Refugees - Australia	27
Anthropology, Ethnology, Exploration & Travel/Japan	39
Anthropology, Ethnology, Exploration & Travel/East and west	27
Crafts & Visual Arts/Bock, Thomas, 1793-1855	1
Economics, Philosophy, Politics, Religion & Sociology/Kirner, Joan 1938-	1
Places/Bolivia	7
History/Benedictine Abbey of New Norcia, Western Australia - History	3
Anthropology, Ethnology, Exploration & Travel/Indonesia	21
People/Crumb, R.	2
Climate, Environment, Natural Resources & Disasters/Watersheds	4
Climate, Environment, Natural Resources & Disasters/Soils	15
Anthropology, Ethnology, Exploration & Travel/Winnipeg (Man.)	4
Mathematics, Science & Technology/Senses and sensation	42
Crafts & Visual Arts/Romanticism in art	21
Food, Health, Lifestyle, Medicine, Psychology & Safety/Youth - Sweden	4
Music & Performing Arts/Doors (Musical group)	2
People/Streeton, Arthur, Sir, 1867-1943	7
Crime, Espionage, Justice, Police & Prisons/Police - Victoria	6
Crafts & Visual Arts/Roussel, Ker Xavier, 1867-1944	1
Crafts & Visual Arts/Carpentry	21
Anthropology, Ethnology, Exploration & Travel/Stanley, Henry M. (Henry Morton), 1841-1904	1
Places/Belfast (Northern Ireland)	6
Literature/Kipling, Rudyard, 1865-1936	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Drugs - Research	22
Food, Health, Lifestyle, Medicine, Psychology & Safety/Gases, Asphyxiating and poisonous	4
People/Gainsborough, Thomas, 1727-1788	2
People/Mowat, Angus	1
Education, Instruction, Teaching & Schools/Reading disability	7
Communications, Infrastructure, & Transport/Renewable energy sources	52
Armed Forces, Military, War & Weapons/Heroes	67
Crafts & Visual Arts/Williams, Aubrey	1
Economics, Philosophy, Politics, Religion & Sociology/Aboriginal Australians - Government relations	28
Economics, Philosophy, Politics, Religion & Sociology/Japan - Social conditions	56
Places/Groote Eylandt (N.T.)	3
Anthropology, Ethnology, Exploration & Travel/Italy - Description and travel	31
Crafts & Visual Arts/Potters - Australia	7
Armed Forces, Military, War & Weapons/War - Environmental aspects	8
Economics, Philosophy, Politics, Religion & Sociology/Vandalism	17
Agriculture, Business, Commerce & Industry/Nickel mines and mining	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Youth - United States	19
Music & Performing Arts/Violoncellists	3
Crafts & Visual Arts/Art, Medieval	10
Music & Performing Arts/Composition (Music)	55
People/Goya, Francisco, 1746-1828	5
Armed Forces, Military, War & Weapons/Kirkpatrick, John Simpson	1
Places/Boort (Vic.)	2
Aboriginal Australia/Aboriginal Australians - Health and hygiene	18
Family, Gender Identity, Relationships & Sexuality/School children	75
Climate, Environment, Natural Resources & Disasters/Earth - Internal structure	21
Anthropology, Ethnology, Exploration & Travel/Map drawing	5
Climate, Environment, Natural Resources & Disasters/Volcanological research	5
Anthropology, Ethnology, Exploration & Travel/Mexico - Description and travel	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Occupational therapy	10
History/Bin Laden, Osama, 1957-	2
Economics, Philosophy, Politics, Religion & Sociology/Advertising - Social aspects	39
Music & Performing Arts/Acrobats	7
Crafts & Visual Arts/Architecture, Domestic - France	3
History/Great Britain - History - 18th century	13
Armed Forces, Military, War & Weapons/Armed forces - procurement	5
People/Pauling, Linus, 1901-	1
Education, Instruction, Teaching & Schools/Nurses - In-service training	17
Mathematics, Science & Technology/Plastics	14
Crime, Espionage, Justice, Police & Prisons/Spies	35
Agriculture, Business, Commerce & Industry/Metals	27
Armed Forces, Military, War & Weapons/Pearl Harbor (Hawaii), Attack on, 1941	10
Anthropology, Ethnology, Exploration & Travel/Beechworth (Vic	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Herbs - Therapeutic use	4
Music & Performing Arts/Gypsies - Music	7
Economics, Philosophy, Politics, Religion & Sociology/Bullying - Prevention	7
Climate, Environment, Natural Resources & Disasters/Precious stones	6
History/Crusades - First, 1096-1099	5
People/Danton, Georges Jacques, 1759-1794	1
Crafts & Visual Arts/Miller, Godfrey, 1893-1964	2
Communications, Infrastructure, & Transport/Subways - Great Britain	2
History/Gandhi, Mahatma, 1869-1948	16
Crafts & Visual Arts/Art, Prehistoric	3
Mathematics, Science & Technology/Food contamination - Prevention	19
Agriculture, Business, Commerce & Industry/Industrial organization	11
People/Taylor, Frederick Winslow, 1856-1915	1
History/Jews - Australia	9
History/Valley of the Kings (Egypt) - Antiquities	7
Crafts & Visual Arts/Seurat, Georges, 1859-1891	9
Agriculture, Business, Commerce & Industry/Agriculture - Japan	7
People/Absalom, Jack, 1927-	1
Armed Forces, Military, War & Weapons/Monash, John, Sir	4
People/Beatty, Warren, 1937-	2
People/Bennelong, ca. 1764-1813	1
History/Ivan IV, Czar of Russia, 1530-1584	6
Economics, Philosophy, Politics, Religion & Sociology/Self	18
Crime, Espionage, Justice, Police & Prisons/Taylor, Squizzy, 1888-1927	1
Literature/Walwicz, Ania	1
People/Smart, Jeffrey, 1921-	1
Places/Furneaux Island (Tas.)	2
Animals & Wildlife/Kangaroos	47
Education, Instruction, Teaching & Schools/Education - History	5
Anthropology, Ethnology, Exploration & Travel/Alligator Rivers Region (N.T.) - Description and travel	2
Climate, Environment, Natural Resources & Disasters/Lakes	43
Literature/Harvey, Roland	2
People/Hepburn, Katharine, 1909-	1
Hobbies, Recreation & Sport/Windjammers (Sailing Ships)	6
Anthropology, Ethnology, Exploration & Travel/Indians of North America	41
People/Bach, Edward, 1886-1936	1
Crafts & Visual Arts/Haas, Ernst	2
History/France - History - Medieval period, 987-1515	6
Agriculture, Business, Commerce & Industry/Snowy Mountains Hydro-electric Scheme	25
Advertising, Film, Journalism, Mass Media & TV/Boyle, Richard	1
Advertising, Film, Journalism, Mass Media & TV/Disney, Walt, 1901-1966	4
Armed Forces, Military, War & Weapons/War - United States	20
Economics, Philosophy, Politics, Religion & Sociology/Technical assistance, Australian - Papua New Guinea	11
Agriculture, Business, Commerce & Industry/Communication in organizations	10
People/Composers - Biography	41
People/Miller, Henry, 1891-1980	1
People/Mackillop, Mary, 1842-1909	3
Family, Gender Identity, Relationships & Sexuality/Housewives	28
Education, Instruction, Teaching & Schools/Education, Preschool - Australia	17
Anthropology, Ethnology, Exploration & Travel/Mawson station (Australian Antarctic Territory)	9
Economics, Philosophy, Politics, Religion & Sociology/Bangladesh - Economic conditions	4
Advertising, Film, Journalism, Mass Media & TV/Lundgren, Dolph, 1959-	1
Music & Performing Arts/Hip-hop - New York (State) - New York	5
Economics, Philosophy, Politics, Religion & Sociology/Appleby, Minnie	1
Agriculture, Business, Commerce & Industry/Blacksmithing	9
Anthropology, Ethnology, Exploration & Travel/Maryborough Region (Qld.)	1
Hobbies, Recreation & Sport/Jumping	20
Economics, Philosophy, Politics, Religion & Sociology/Homeless youth - Australia	10
History/Ukraine - History	3
Armed Forces, Military, War & Weapons/Fighter pilots	11
History/Australia - Civilization	7
Agriculture, Business, Commerce & Industry/Clock and watch making	3
Mathematics, Science & Technology/Mineralogy	28
Education, Instruction, Teaching & Schools/Metallurgy - History	8
Places/National Highway (W.A.)	1
Anthropology, Ethnology, Exploration & Travel/Kenya	31
Food, Health, Lifestyle, Medicine, Psychology & Safety/Erikson, Erik H. (Erik Homburger), 1902-	9
Aboriginal Australia/Little, Jimmy, 1937-2012	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Security (Psychology)	8
Advertising, Film, Journalism, Mass Media & TV/Brittain, Donald	1
Agriculture, Business, Commerce & Industry/Machinery	68
Economics, Philosophy, Politics, Religion & Sociology/Youth - Services for	8
History/Botany Bay (N.S.W)	4
Communications, Infrastructure, & Transport/Public works - India	4
People/Themistocles, ca. 524-ca. 459 B.C.	1
Climate, Environment, Natural Resources & Disasters/Ecology - Western Australia	4
Places/Danube River	6
Anthropology, Ethnology, Exploration & Travel/Cook, James, 1728-1779	14
Music & Performing Arts/Costume design	41
History/France - History - Consulate and Empire, 1799-1815	4
Economics, Philosophy, Politics, Religion & Sociology/Developing countries - Social conditions	99
Anthropology, Ethnology, Exploration & Travel/Ross Island (Ross Sea, Antarctica)	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Handicapped - Psychology	16
Hobbies, Recreation & Sport/Cuthbert, Betty	3
Music & Performing Arts/Riveng, Nicolas	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Diseases - Research	23
Advertising, Film, Journalism, Mass Media & TV/Stereotype (Psychology) in mass media	6
History/Religion, Primitive	3
Advertising, Film, Journalism, Mass Media & TV/Crawford, Christina, 1939-	1
Mathematics, Science & Technology/Curie, Pierre, 1859-1906	1
People/Kahlo, Frida, 1907-1954	3
Crafts & Visual Arts/Artists - Germany	20
Agriculture, Business, Commerce & Industry/Clothing trade - Australia	1
Agriculture, Business, Commerce & Industry/Industries - England	4
Family, Gender Identity, Relationships & Sexuality/Alienation (Philosophy)	3
Music & Performing Arts/Music - Canada	21
Agriculture, Business, Commerce & Industry/Herbs	8
People/Ward, Vincent	5
History/World War, 1914-1918 - Propaganda	2
Anthropology, Ethnology, Exploration & Travel/Yass River Valley (N.S.W.)	1
Anthropology, Ethnology, Exploration & Travel/Bundaberg (Qld)	1
Crafts & Visual Arts/Composition (Photography)	16
Mathematics, Science & Technology/United States. National Aeronautics and Space Administration	16
Literature/Egyptian literature - Film and video adaptations	2
Economics, Philosophy, Politics, Religion & Sociology/Freedom of religion	10
Agriculture, Business, Commerce & Industry/Quality control	15
Anthropology, Ethnology, Exploration & Travel/Yukon Territory	5
Agriculture, Business, Commerce & Industry/Farm management - United States	17
Agriculture, Business, Commerce & Industry/Bicycle industry	2
Economics, Philosophy, Politics, Religion & Sociology/Banks and banking - England	10
History/Pizarro, Francisco, ca. 1475-1541	3
Anthropology, Ethnology, Exploration & Travel/Sami (European people)	5
Crafts & Visual Arts/Tapies, Antoni	1
Agriculture, Business, Commerce & Industry/Dairy farming - Australia	20
People/Keller, Helen, 1880-1968	4
Advertising, Film, Journalism, Mass Media & TV/Film festivals	4
History/Revolutions	38
Food, Health, Lifestyle, Medicine, Psychology & Safety/Cigarette habit	27
History/Monarchy - Great Britain	125
Food, Health, Lifestyle, Medicine, Psychology & Safety/Food - Microbiology	12
Communications, Infrastructure, & Transport/Concorde (Jet transports)	16
Hobbies, Recreation & Sport/Sports for the physically handicapped	18
