length	total
00:47:20	1
00:47:22	1
04:08:42	1
00:47:28	1
01:53:27	1
00:24:58	7
00:24:57	6
00:24:56	2
00:24:55	9
00:24:54	4
00:24:53	8
00:24:52	12
00:24:50	11
00:02:57	14
02:01:15	1
02:50:00	33
00:02:54	12
01:01:02	1
01:21:50	1
02:56:00	10
04:16:00	2
00:27:30	27
00:27:31	2
00:27:32	6
00:27:33	8
00:27:34	4
00:27:35	4
00:27:36	3
00:27:37	6
00:27:38	13
00:27:39	1
01:27:58	1
00:14:54	6
00:14:55	12
00:14:56	2
00:14:57	11
00:14:50	18
00:14:51	1
00:14:52	11
00:14:53	12
00:40:20	2
00:14:58	10
00:40:25	1
02:54:00	10
00:36:23	3
02:58:00	10
01:57:50	1
03:59:00	1
05:45:00	2
00:38:59	1
06:09:00	1
01:09:28	1
01:27:37	1
01:31:28	1
01:51:48	1
00:01:54	2
00:10:29	3
00:10:28	26
01:00:30	1
00:10:21	7
00:10:20	44
00:10:23	31
00:10:22	24
00:10:25	47
00:10:24	6
00:10:27	16
00:10:26	7
01:42:49	1
00:01:50	7
03:58:00	2
02:59:00	4
01:42:40	1
01:42:42	1
00:50:22	2
02:23:48	1
01:44:47	2
00:57:23	3
02:07:30	1
04:18:00	1
02:05:17	1
00:29:10	20
00:29:11	2
00:29:12	2
00:29:13	6
00:29:14	2
00:29:15	4
00:29:16	2
00:29:17	7
00:29:18	6
00:29:19	2
00:57:28	2
00:06:57	16
00:06:56	6
00:06:55	1
00:06:54	5
00:06:53	13
00:06:52	4
00:18:27	8
00:06:50	12
00:18:29	2
00:18:28	14
01:32:28	1
00:06:59	1
00:06:58	6
00:09:09	1
00:43:33	1
10:31:00	1
04:19:00	2
01:18:52	1
01:41:41	1
00:32:55	2
00:32:56	1
00:32:57	3
00:32:50	3
00:32:52	1
00:32:53	2
01:33:09	1
00:49:15	1
00:49:13	1
00:49:10	3
00:49:11	1
01:55:17	1
00:49:18	1
02:36:00	21
00:45:12	1
00:45:13	1
00:19:28	5
00:19:29	2
00:45:16	1
00:19:22	4
00:19:23	8
00:19:20	11
00:19:21	1
00:19:27	30
00:19:24	2
00:19:25	9
00:46:39	1
00:46:38	3
00:46:36	1
00:46:30	3
00:34:53	3
00:34:57	1
01:33:00	154
03:07:00	3
01:07:25	1
00:07:52	11
01:07:22	1
01:33:22	1
00:23:29	1
00:23:28	7
00:43:10	1
00:43:13	1
00:23:23	2
00:23:22	3
00:23:20	18
00:43:18	1
00:23:26	3
00:23:25	7
00:23:24	2
01:37:33	1
03:05:00	11
00:44:30	4
00:44:36	1
00:44:35	1
00:44:39	1
00:44:38	1
07:30:00	1
05:40:00	1
00:39:08	1
06:57:00	2
00:00:48	4
00:58:37	2
01:59:07	1
00:23:06	1
01:59:00	57
00:00:46	3
01:36:23	1
00:14:45	19
00:23:08	3
01:20:42	1
00:27:28	12
00:10:54	4
00:47:12	1
00:47:13	1
00:47:14	1
00:47:15	1
02:52:22	1
11:50:00	1
01:50:55	1
01:58:00	90
00:41:15	1
00:41:12	1
00:41:13	2
00:41:10	1
00:44:10	1
07:45:00	1
00:44:13	1
00:17:51	1
00:15:48	4
00:15:49	2
00:15:44	1
00:15:45	11
00:15:46	8
00:15:47	16
00:15:40	13
00:15:41	3
00:15:42	14
00:15:43	12
00:27:27	8
00:27:26	3
00:27:25	7
00:14:48	14
00:27:23	11
00:27:22	16
00:27:21	1
00:27:20	13
00:14:43	25
00:14:42	9
00:14:41	2
00:14:40	29
00:14:47	18
00:14:46	5
00:27:29	3
00:14:44	2
00:40:38	2
00:40:37	1
01:34:00	142
00:40:35	2
00:37:25	1
00:40:32	3
00:40:31	2
00:40:30	1
01:34:03	1
01:40:15	1
01:07:45	1
00:16:18	6
01:30:20	1
01:09:37	1
00:16:12	10
00:16:13	10
00:16:10	14
00:16:16	4
00:16:17	9
00:16:14	1
00:16:15	11
05:33:00	1
01:05:35	1
00:26:41	2
01:47:41	1
00:10:18	28
00:10:19	8
00:10:14	6
00:10:15	34
00:10:16	6
00:10:17	61
00:10:10	19
00:10:11	4
00:10:12	23
00:10:13	29
00:12:38	17
01:24:24	1
00:32:24	1
03:38:00	3
06:35:00	2
01:41:08	2
01:24:20	1
00:12:16	3
00:12:17	11
01:54:00	72
00:12:15	17
00:12:12	10
00:12:13	29
00:12:10	12
04:33:00	1
00:32:22	2
01:09:33	1
00:12:18	7
00:12:19	3
03:36:00	9
00:48:28	1
00:56:58	3
00:56:52	1
00:56:50	4
00:56:51	1
00:56:57	1
00:56:54	1
00:56:55	4
00:29:07	4
00:29:05	6
00:29:04	3
00:29:03	5
00:29:02	6
00:29:01	1
00:29:00	294
00:29:09	1
00:12:35	12
00:26:45	9
01:04:15	1
00:18:14	2
00:18:15	8
00:18:16	2
00:18:17	7
00:18:10	12
00:18:11	1
00:18:12	5
00:18:13	2
03:13:41	1
00:58:55	1
00:18:18	3
00:18:19	3
01:03:27	2
00:06:18	3
03:03:00	9
04:13:00	1
02:01:37	2
00:27:52	9
01:06:16	1
00:27:53	9
00:27:50	15
04:39:00	1
00:32:43	2
00:32:42	1
00:27:51	2
00:32:47	5
03:39:00	1
00:48:06	1
00:13:24	3
00:32:48	2
00:48:03	2
00:48:00	170
00:27:57	8
00:49:05	1
00:06:10	6
01:29:52	1
00:49:00	111
00:49:03	2
00:49:02	1
01:55:00	111
